Status de venta,Fecha de venta,Nombre activo,Símbolo activo,Categoría activo,Rescate en dólares,Acciones vendidas
completada,2024-09-25,Advanced Micro Devices Inc,AMD,stock,10,"0,061413745"
completada,2024-09-26,Advanced Micro Devices Inc,AMD,stock,20,"0,118722546"
completada,2024-09-26,NVIDIA Corp,NVDA,stock,10,"0,079195375"
completada,2024-09-26,Tesla Inc,TSLA,stock,10,"0,038549016"
completada,2024-09-27,Tesla Inc,TSLA,stock,10,"0,038559421"
completada,2024-10-04,Dell Technologies Inc,DELL,stock,10,"0,084309924"
completada,2024-10-04,NVIDIA Corp,NVDA,stock,10,"0,080405243"
completada,2024-10-04,Advanced Micro Devices Inc,AMD,stock,10,"0,058958788"
completada,2024-10-07,NVIDIA Corp,NVDA,stock,10,"0,077232005"
completada,2024-10-08,Dell Technologies Inc,DELL,stock,10,"0,082413055"
completada,2024-10-09,NVIDIA Corp,NVDA,stock,10,"0,075013128"
completada,2024-10-10,Dell Technologies Inc,DELL,stock,10,"0,080736316"
completada,2024-10-11,Dell Technologies Inc,DELL,stock,10,"0,079327305"
completada,2024-10-11,Advanced Micro Devices Inc,AMD,stock,10,"0,059347182"
completada,2024-10-14,Dell Technologies Inc,DELL,stock,10,"0,077447336"
completada,2024-10-14,NVIDIA Corp,NVDA,stock,10,"0,072590012"
completada,2024-10-16,Tesla Inc,TSLA,stock,10,"0,045053163"
completada,2024-10-16,NVIDIA Corp,NVDA,stock,10,"0,073367572"
completada,2024-10-17,Dell Technologies Inc,DELL,stock,20,"0,152858454"
completada,2024-10-21,NVIDIA Corp,NVDA,stock,10,"0,070836581"
completada,2024-10-24,Tesla Inc,TSLA,stock,"79,99","0,312085512"
completada,2024-10-25,Advanced Micro Devices Inc,AMD,stock,10,"0,063475943"
completada,2024-10-25,Dell Technologies Inc,DELL,stock,10,"0,080684203"
completada,2024-10-25,Tesla Inc,TSLA,stock,10,"0,037127794"
completada,2024-10-28,Tesla Inc,TSLA,stock,10,"0,0368053"
completada,2024-10-29,Advanced Micro Devices Inc,AMD,stock,10,"0,061984752"
completada,2024-10-29,Advanced Micro Devices Inc,AMD,stock,10,"0,060642814"
completada,2024-10-30,Dell Technologies Inc,DELL,stock,20,"0,154918668"
completada,2024-10-30,Tesla Inc,TSLA,stock,10,"0,038324455"
completada,2024-10-30,Dell Technologies Inc,DELL,stock,10,"0,075137126"
completada,2024-11-06,Dell Technologies Inc,DELL,stock,"9,99","0,073399883"
completada,2024-11-06,Tesla Inc,TSLA,stock,"11,83","0,042159237"
completada,2024-11-07,Tesla Inc,TSLA,stock,"10,29","0,035634186"
completada,2024-11-07,Advanced Micro Devices Inc,AMD,stock,10,"0,067713977"
completada,2024-11-07,NVIDIA Corp,NVDA,stock,10,"0,067769044"
completada,2024-11-11,Dell Technologies Inc,DELL,stock,10,"0,072087659"
completada,2024-11-14,Avis Budget Group Inc,CAR,stock,"9,98","0,091709465"
completada,2024-11-19,Alphabet Inc,GOOG,stock,10,"0,055894025"
completada,2024-11-20,NVIDIA Corp,NVDA,stock,10,"0,068823125"
completada,2024-11-21,Dell Technologies Inc,DELL,stock,10,"0,071973514"
completada,2024-11-22,Dell Technologies Inc,DELL,stock,10,"0,070077085"
completada,2024-11-22,Avis Budget Group Inc,CAR,stock,10,"0,096422718"
completada,2024-11-25,Avis Budget Group Inc,CAR,stock,"19,97","0,183150184"
completada,2024-11-26,Alphabet Inc,GOOG,stock,10,"0,058719907"
completada,2024-12-02,Advanced Micro Devices Inc,AMD,stock,10,"0,071612719"
completada,2024-12-02,Tesla Inc,TSLA,stock,"21,05","0,059425474"
completada,2024-12-04,Alphabet Inc,GOOG,stock,10,"0,057306591"
completada,2024-12-04,Advanced Micro Devices Inc,AMD,stock,10,"0,069969214"
completada,2024-12-04,NVIDIA Corp,NVDA,stock,10,"0,069730145"
completada,2024-12-06,Avis Budget Group Inc,CAR,stock,"9,95","0,09788567"
completada,2024-12-10,Alphabet Inc,GOOG,stock,10,"0,053304905"
completada,2024-12-10,Alphabet Inc,GOOG,stock,10,"0,053304905"
completada,2024-12-11,Alphabet Inc,GOOG,stock,"9,73","0,050211974"
completada,2024-12-12,Advanced Micro Devices Inc,AMD,stock,10,"0,076254385"
completada,2024-12-16,Dell Technologies Inc,DELL,stock,10,"0,082590024"
completada,2024-12-18,NVIDIA Corp,NVDA,stock,10,"0,074460164"
completada,2024-12-18,Advanced Micro Devices Inc,AMD,stock,10,"0,078820841"
completada,2024-12-20,Dell Technologies Inc,DELL,stock,10,"0,086236634"
completada,2024-12-23,Advanced Micro Devices Inc,AMD,stock,10,"0,080619156"
completada,2024-12-23,NVIDIA Corp,NVDA,stock,"11,42","0,083761186"
completada,2024-12-23,Dell Technologies Inc,DELL,stock,10,"0,084331254"
